1010001B22Rik	1010001B22Rik|Gm26808
Cd74	Cd74
Cd79a	Cd79a
Cd79b	Cd79b
Cd80	Cd80
Cd81	Cd81
Cd82	Cd82
Cd83	Cd83
Cd84	Cd84
Cd86	Cd86
Cd8a	Cd8a
Cd8b1	Cd8b1
Cd9	Cd9
Cd93	Cd93
Cd96	Cd96
Cd99l2	Cd99l2
Cda	Cda
Cdadc1	Cdadc1
Cdan1	Cdan1
Cdc123	Cdc123
Cdc14a	Cdc14a
Cdc14b	Cdc14b
Cdc16	Cdc16
Cdc20	Cdc20
Cdc20b	Cdc20b
Cdc23	Cdc23
Cdc25a	Cdc25a
Cdc25b	Cdc25b
Cdc25c	Cdc25c
Cdc26	Cdc26
Cdc27	Cdc27
Cdc34	Cdc34
Cdc34b	Cdc34b
Cdc37	Cdc37
Cdc37l1	Cdc37l1
Cdc40	Cdc40
Cdc42	Cdc42
Cdc42bpa	Cdc42bpa
Cdc42bpb	Cdc42bpb
Cdc42bpg	Cdc42bpg
Cdc42ep1	Cdc42ep1
Cdc42ep2	Cdc42ep2
Cdc42ep3	Cdc42ep3
Cdc42ep4	Cdc42ep4
Cdc42ep5	Cdc42ep5
Cdc42se1	Cdc42se1
Cdc42se2	Cdc42se2
Cdc45	Cdc45
Cdc5l	Cdc5l
Cdc6	Cdc6
Cdc7	Cdc7
Cdc73	Cdc73
Cdca2	Cdca2
Cdca3	Cdca3
Cdca4	Cdca4
Cdca5	Cdca5
Cdca7	Cdca7
Cdca7l	Cdca7l
Cdca8	Cdca8
Cdcp1	Cdcp1
Cdcp2	Cdcp2
Cdh1	Cdh1
Cdh10	Cdh10
Cdh11	Cdh11
Cdh12	Cdh12
Cdh13	Cdh13
Cdh15	Cdh15
Cdh16	Cdh16
Cdh17	Cdh17
Cdh18	Cdh18
Cdh19	Cdh19
Cdh2	Cdh2
Cdh20	Cdh20
Cdh22	Cdh22
Cdh23	Cdh23
Cdh24	Cdh24
Cdh26	Cdh26
Cdh3	Cdh3
Cdh4	Cdh4
Cdh5	Cdh5
Cdh6	Cdh6
Cdh7	Cdh7
Cdh8	Cdh8
Cdh9	Cdh9
Cdhr1	Cdhr1
Cdhr2	Cdhr2
Cdhr3	Cdhr3
Cdhr4	Cdhr4
Cdhr5	Cdhr5
Cdip1	Cdip1
Cdipt	Cdipt
Cdk1	Cdk1
Cdk10	Cdk10
Cdk11b	Cdk11b
Cdk12	Cdk12
Cdk13	Cdk13
Cdk14	Cdk14
Cdk15	Cdk15
Cdk16	Cdk16
Cdk17	Cdk17
Cdk18	Cdk18
Cdk19	Cdk19
Cdk19os	Cdk19os
Cdk2	Cdk2
Cdk20	Cdk20
Cdk2ap1	Cdk2ap1
Cdk2ap2	Cdk2ap2
Cdk3-ps	Cdk3-ps
Cdk4	Cdk4
Cdk5	Cdk5
Cdk5r1	Cdk5r1
Cdk5r2	Cdk5r2
Cdk5rap1	Cdk5rap1
Cdk5rap2	Cdk5rap2
Cdk5rap3	Cdk5rap3
Cdk6	Cdk6
Cdk7	Cdk7
Cdk8	Cdk8
Cdk9	Cdk9
Cdkal1	Cdkal1
Cdkl1	Cdkl1
Cdkl2	Cdkl2
Cdkl3	Cdkl3
Cdkl4	Cdkl4
Cdkl5	Cdkl5
Cdkn1a	Cdkn1a
Cdkn1b	Cdkn1b
Cdkn1c	Cdkn1c
Cdkn2a	Cdkn2a
Cdkn2aip	Cdkn2aip
Cdkn2aipnl	Cdkn2aipnl
Cdkn2b	Cdkn2b
Cdkn2c	Cdkn2c
Cdkn2d	Cdkn2d
Cdkn3	Cdkn3
Cdnf	Cdnf
Cdo1	Cdo1
Cdon	Cdon
Cdpf1	Cdpf1
Cdr1	Cdr1
Cdr2	Cdr2
Cdr2l	Cdr2l
Cdrt4	Cdrt4
Cdrt4os1	Cdrt4os1
Cdrt4os2	Cdrt4os2
Cds1	Cds1
Cds2	Cds2
Cdsn	Cdsn
Cdt1	Cdt1
Cdv3	Cdv3
Cdx1	Cdx1
Cdx2	Cdx2
Cdx4	Cdx4
Cdyl	Cdyl
Cdyl2	Cdyl2
Ceacam10	Ceacam10
Ceacam11	Ceacam11
Ceacam12	Ceacam12
Ceacam13	Ceacam13
Ceacam14	Ceacam14
Ceacam15	Ceacam15
Ceacam16	Ceacam16
Ceacam18	Ceacam18
Ceacam19	Ceacam19
Ceacam20	Ceacam20
Ceacam3	Ceacam3
Ceacam5	Ceacam5
Ceacam9	Ceacam9
Cebpa	Cebpa
Cebpb	Cebpb
Cebpe	Cebpe
Cebpg	Cebpg
Cebpz	Cebpz
Cebpzos	Cebpzos
Cecr2	Cecr2
Cecr5	Cecr5
Cecr6	Cecr6
Cel	Cel
Cela1	Cela1
Cela2a	Cela2a
Celf1	Celf1
Celf2	Celf2
Celf3	Celf3
Celf4	Celf4
Celf5	Celf5
Celf6	Celf6
Celrr	Celrr
Celsr1	Celsr1
Celsr2	Celsr2
Celsr3	Celsr3
Cemip	Cemip
Cend1	Cend1
Cenpa	Cenpa
Cenpb	Cenpb
Cenpc1	Cenpc1
Cenpe	Cenpe
Cenpf	Cenpf
Cenph	Cenph
Cenpi	Cenpi
Cenpj	Cenpj
Cenpk	Cenpk
Cenpl	Cenpl
Cenpm	Cenpm
Cenpn	Cenpn
Cenpo	Cenpo
Cenpp	Cenpp
Cenpq	Cenpq
Cenpt	Cenpt
Cenpu	Cenpu
Cenpv	Cenpv
Cenpw	Cenpw
Cep104	Cep104
Cep112	Cep112
Cep112it	Cep112it
Cep112os1	Cep112os1
Cep120	Cep120
Cep126	Cep126
Cep128	Cep128
Cep131	Cep131
Cep135	Cep135
Cep152	Cep152
Cep162	Cep162
Cep164	Cep164
Cep170	Cep170
Cep170b	Cep170b
Cep19	Cep19
Cep192	Cep192
Cep250	Cep250
Cep290	Cep290
Cep295	Cep295
Cep350	Cep350
Cep41	Cep41
Cep44	Cep44
Cep55	Cep55
Cep57	Cep57
Cep57l1	Cep57l1
Cep63	Cep63
Cep68	Cep68
Cep70	Cep70
Cep72	Cep72
Cep76	Cep76
Cep78	Cep78
Cep83	Cep83
Cep83os	Cep83os
Cep85	Cep85
Cep85l	Cep85l
Cep89	Cep89
Cep95	Cep95
Cep97	Cep97
Cept1	Cept1
Cer1	Cer1
Cercam	Cercam
Cerk	Cerk
Cerkl	Cerkl
Cers1	Cers1
Cers2	Cers2
Cers3	Cers3
Cers4	Cers4
Cers5	Cers5
Cers6	Cers6
Ces1a	Ces1a
Ces1d	Ces1d
Ces1e	Ces1e
Ces1f	Ces1f
Ces1g	Ces1g
Ces1h	Ces1h
Ces2a	Ces2a
Ces2b	Ces2b
Ces2e	Ces2e
Ces2f	Ces2f
Ces2g	Ces2g
Ces2h	Ces2h
Ces4a	Ces4a
Ces5a	Ces5a
Cetn1	Cetn1
Cetn2	Cetn2
Cetn3	Cetn3
Cetn4	Cetn4
Cfap100	Cfap100
Cfap126	Cfap126
Cfap157	Cfap157
Cfap161	Cfap161
Cfap20	Cfap20
Cfap206	Cfap206
Cfap221	Cfap221
Cfap36	Cfap36
Cfap43	Cfap43
Cfap44	Cfap44
Cfap45	Cfap45
Cfap46	Cfap46
Cfap52	Cfap52
Cfap53	Cfap53
Cfap54	Cfap54
Cfap57	Cfap57
Cfap58	Cfap58
Cfap61	Cfap61
Cfap69	Cfap69
Cfap70	Cfap70
Cfap73	Cfap73
Cfap74	Cfap74
Cfap77	Cfap77
Cfap97	Cfap97
Cfap99	Cfap99
Cfb	Cfb
Cfc1	Cfc1
Cfd	Cfd
Cfdp1	Cfdp1
Cfh	Cfh
Cfhr1	Cfhr1
Cfhr2	Cfhr2
Cfi	Cfi
Cfl1	Cfl1
Cfl2	Cfl2
Cflar	Cflar
Cfp	Cfp
Cftr	Cftr
Cga	Cga
Cggbp1	Cggbp1
Cgn	Cgn
Cgnl1	Cgnl1
Cgref1	Cgref1
Cgrrf1	Cgrrf1
Ch25h	Ch25h
Chac1	Chac1
Chac2	Chac2
Chad	Chad
Chadl	Chadl
Chaf1a	Chaf1a
Chaf1b	Chaf1b
Champ1	Champ1
Chat	Chat
Chchd1	Chchd1
Chchd10	Chchd10
Chchd2	Chchd2
Chchd3	Chchd3
Chchd4	Chchd4
Chchd5	Chchd5
Chchd6	Chchd6
Chchd7	Chchd7
Chd1	Chd1
Chd1l	Chd1l
Chd2	Chd2
Chd3	Chd3
Chd3os	Chd3os
Chd4	Chd4
Chd5	Chd5
Chd6	Chd6
Chd7	Chd7
Chd8	Chd8
Chd9	Chd9
Chdh	Chdh
Chek1	Chek1
Chek2	Chek2
Cherp	Cherp
Chfr	Chfr
Chga	Chga
Chgb	Chgb
Chia1	Chia1
Chic1	Chic1
Chic2	Chic2
Chid1	Chid1
Chil1	Chil1
Chil5	Chil5
Chil6	Chil6
Chit1	Chit1
Chka	Chka
Chkb	Chkb
Chl1	Chl1
Chm	Chm
Chml	Chml
Chmp1a	Chmp1a
Chmp2a	Chmp2a
Chmp2b	Chmp2b
Chmp3	Chmp3
Chmp4b	Chmp4b
Chmp4c	Chmp4c
Chmp5	Chmp5
Chmp6	Chmp6
Chmp7	Chmp7
Chn1	Chn1
Chn1os1	Chn1os1
Chn1os3	Chn1os3
Chn2	Chn2
Chodl	Chodl
Chordc1	Chordc1
Chp1	Chp1
Chp2	Chp2
Chpf	Chpf
Chpf2	Chpf2
Chpt1	Chpt1
Chrac1	Chrac1
Chrd	Chrd
Chrdl1	Chrdl1
Chrdl2	Chrdl2
Chrm1	Chrm1
Chrm2	Chrm2
Chrm3	Chrm3
Chrm4	Chrm4
Chrm5	Chrm5
Chrna1	Chrna1
Chrna10	Chrna10
Chrna1os	Chrna1os
Chrna2	Chrna2
Chrna3	Chrna3
Chrna4	Chrna4
Chrna5	Chrna5
Chrna6	Chrna6
Chrna7	Chrna7
Chrna9	Chrna9
Chrnb1	Chrnb1
Chrnb2	Chrnb2
Chrnb3	Chrnb3
Chrnb4	Chrnb4
Chrnd	Chrnd
Chrne	Chrne
Chrng	Chrng
Chst1	Chst1
Chst10	Chst10
Chst11	Chst11
Chst12	Chst12
Chst13	Chst13
Chst14	Chst14
Chst15	Chst15
Chst2	Chst2
Chst3	Chst3
Chst4	Chst4
Chst5	Chst5
Chst7	Chst7
Chst8	Chst8
Chst9	Chst9
Chsy1	Chsy1
Chsy3	Chsy3
Chtf18	Chtf18
Chtf8	Chtf8
Chtop	Chtop
Chuk	Chuk
Churc1	Churc1
Ciao1	Ciao1
Ciapin1	Ciapin1
Ciart	Ciart
Cib1	Cib1
Cib2	Cib2
Cib3	Cib3
Cib4	Cib4
Cic	Cic
Cidea	Cidea
Cideb	Cideb
Cidec	Cidec
Ciita	Ciita
Cilp	Cilp
Cilp2	Cilp2
Cinp	Cinp
Cipc	Cipc
Cir1	Cir1
Cirbp	Cirbp
Cirh1a	Cirh1a
Cisd1	Cisd1
Cisd2	Cisd2
Cisd3	Cisd3
Cish	Cish
Cit	Cit
Cited1	Cited1
Cited2	Cited2
Cited4	Cited4
Ciz1	Ciz1
Ckap2	Ckap2
Ckap2l	Ckap2l
Ckap4	Ckap4
Ckap5	Ckap5
Ckb	Ckb
Cklf	Cklf
Ckm	Ckm
Ckmt1	Ckmt1
Ckmt2	Ckmt2
Cks1b	Cks1b
Cks1brt	Cks1brt
Cks2	Cks2
Clasp1	Clasp1
Clasp2	Clasp2
Clasrp	Clasrp
Clca1	Clca1
Clca2	Clca2
Clca3b	Clca3b
Clcc1	Clcc1
Clcf1	Clcf1
Clcn1	Clcn1
Clcn2	Clcn2
Clcn3	Clcn3
Clcn4	Clcn4
Clcn5	Clcn5
Clcn6	Clcn6
Clcn7	Clcn7
Clcnka	Clcnka
Clcnkb	Clcnkb
Cldn1	Cldn1
Cldn10	Cldn10
Cldn11	Cldn11
Cldn12	Cldn12
Cldn13	Cldn13
Cldn14	Cldn14
Cldn15	Cldn15
Cldn16	Cldn16
Cldn17	Cldn17
Cldn18	Cldn18
Cldn19	Cldn19
Cldn2	Cldn2
Cldn20	Cldn20
Cldn22	Cldn22
Cldn23	Cldn23
Cldn24	Cldn24
Cldn3	Cldn3
Cldn34a	Cldn34a
Cldn34b4	Cldn34b4
Cldn34c1	Cldn34c1
Cldn34c4	Cldn34c4
Cldn34d	Cldn34d
Cldn4	Cldn4
Cldn5	Cldn5
Cldn6	Cldn6
Cldn7	Cldn7
Cldn8	Cldn8
Cldn9	Cldn9
Cldnd1	Cldnd1
Cldnd2	Cldnd2
Clec10a	Clec10a
Clec11a	Clec11a
Clec12a	Clec12a
Clec12b	Clec12b
Clec14a	Clec14a
Clec16a	Clec16a
Clec18a	Clec18a
Clec1a	Clec1a
Clec1b	Clec1b
Clec2d	Clec2d
Clec2e	Clec2e
Clec2h	Clec2h
Clec2l	Clec2l
Clec3a	Clec3a
Clec3b	Clec3b
Clec4a1	Clec4a1
Clec4a2	Clec4a2
Clec4a3	Clec4a3
Clec4a4	Clec4a4
Clec4b1	Clec4b1
Clec4b2	Clec4b2
Clec4d	Clec4d
Clec4e	Clec4e
Clec4f	Clec4f
Clec4g	Clec4g
Clec4n	Clec4n
Clec5a	Clec5a
Clec7a	Clec7a
Clec9a	Clec9a
Clgn	Clgn
Clhc1	Clhc1
Clic1	Clic1
Clic3	Clic3
Clic4	Clic4
Clic5	Clic5
Clic6	Clic6
Clint1	Clint1
Clip1	Clip1
Clip2	Clip2
Clip3	Clip3
Clip4	Clip4
Clk1	Clk1
Clk2	Clk2
Clk3	Clk3
Clk4	Clk4
Clmn	Clmn
Clmp	Clmp
Cln3	Cln3
Cln5	Cln5
Cln6	Cln6
Cln8	Cln8
Clnk	Clnk
Clnkos	Clnkos
Clns1a	Clns1a
Clock	Clock
Clp1	Clp1
Clpb	Clpb
Clpp	Clpp
Clps	Clps
Clpsl2	Clpsl2
Clptm1	Clptm1
Clptm1l	Clptm1l
Clpx	Clpx
Clrn1	Clrn1
Clrn2	Clrn2
Clrn3	Clrn3
Clspn	Clspn
Clstn1	Clstn1
Clstn2	Clstn2
Clstn3	Clstn3
Clta	Clta
Cltb	Cltb
Cltc	Cltc
Clu	Clu
Cluap1	Cluap1
Cluh	Cluh
Clvs1	Clvs1
Clvs2	Clvs2
Clybl	Clybl
Cma1	Cma1
Cma2	Cma2
Cmah	Cmah
Cmas	Cmas
Cmbl	Cmbl
Cmc1	Cmc1
Cmc2	Cmc2
Cmc4	Cmc4
Cmip	Cmip
Cmklr1	Cmklr1
Cml1	Cml1
Cml5	Cml5
Cmpk1	Cmpk1
Cmpk2	Cmpk2
Cmss1	Cmss1
Cmtm1	Cmtm1
Cmtm2a	Cmtm2a
Cmtm2b	Cmtm2b
Cmtm3	Cmtm3
Cmtm4	Cmtm4
Cmtm5	Cmtm5
Cmtm6	Cmtm6
Cmtm7	Cmtm7
Cmtm8	Cmtm8
Cmtr1	Cmtr1
Cmtr2	Cmtr2
Cmya5	Cmya5
Cnbd1	Cnbd1
Cnbd2	Cnbd2
Cnbp	Cnbp
Cndp1	Cndp1
Cndp2	Cndp2
Cnep1r1	Cnep1r1
Cnfn	Cnfn
Cnga1	Cnga1
Cnga2	Cnga2
Cnga3	Cnga3
Cnga4	Cnga4
Cngb1	Cngb1
Cngb3	Cngb3
Cnih1	Cnih1
Cnih2	Cnih2
Cnih3	Cnih3
Cnih4	Cnih4
Cnksr1	Cnksr1
Cnksr2	Cnksr2
Cnksr3	Cnksr3
Cnn1	Cnn1
Cnn2	Cnn2
Cnn3	Cnn3
Cnnm1	Cnnm1
Cnnm2	Cnnm2
Cnnm3	Cnnm3
Cnnm4	Cnnm4
Cnot1	Cnot1
Cnot10	Cnot10
Cnot11	Cnot11
Cnot2	Cnot2
Cnot3	Cnot3
Cnot4	Cnot4
Cnot6	Cnot6
Cnot6l	Cnot6l
Cnot7	Cnot7
Cnot8	Cnot8
Cnp	Cnp
Cnppd1	Cnppd1
Cnpy1	Cnpy1
Cnpy2	Cnpy2
Cnpy3	Cnpy3
Cnpy4	Cnpy4
Cnr1	Cnr1
Cnr2	Cnr2
Cnrip1	Cnrip1
Cnst	Cnst
Cntd1	Cntd1
Cntf	Cntf
Cntfr	Cntfr
Cntln	Cntln
Cntn1	Cntn1
Cntn2	Cntn2
Cntn3	Cntn3
Cntn4	Cntn4
Cntn5	Cntn5
Cntn6	Cntn6
Cntnap1	Cntnap1
Cntnap2	Cntnap2
Cntnap3	Cntnap3
Cntnap4	Cntnap4
Cntnap5a	Cntnap5a
Cntnap5b	Cntnap5b
Cntnap5c	Cntnap5c
Cntrl	Cntrl
Cntrob	Cntrob
Cntrobos	Cntrobos
Coa3	Coa3
Coa4	Coa4
Coa5	Coa5
Coa6	Coa6
Coa7	Coa7
Coasy	Coasy
Cobl	Cobl
Cobll1	Cobll1
Coch	Coch
Cog1	Cog1
Cog2	Cog2
Cog3	Cog3
Cog4	Cog4
Cog5	Cog5
Cog6	Cog6
Cog7	Cog7
Cog8	Cog8
Coil	Coil
Col10a1	Col10a1
Col11a1	Col11a1
Col11a2	Col11a2
Col12a1	Col12a1
Col13a1	Col13a1
Col14a1	Col14a1
Col15a1	Col15a1
Col16a1	Col16a1
Col17a1	Col17a1
Col18a1	Col18a1
Col19a1	Col19a1
Col1a1	Col1a1
Col1a2	Col1a2
Col20a1	Col20a1
Col22a1	Col22a1
Col23a1	Col23a1
Col24a1	Col24a1
Col25a1	Col25a1
Col26a1	Col26a1
Col27a1	Col27a1
Col28a1	Col28a1
Col2a1	Col2a1
Col3a1	Col3a1
Col4a1	Col4a1
Col4a2	Col4a2
Col4a3	Col4a3
Col4a3bp	Col4a3bp
Col4a4	Col4a4
Col4a5	Col4a5
Col4a6	Col4a6
Col5a1	Col5a1
Col5a2	Col5a2
Col5a3	Col5a3
Col6a1	Col6a1
Col6a2	Col6a2
Col6a3	Col6a3
Col6a4	Col6a4
Col6a5	Col6a5
Col6a6	Col6a6
Col7a1	Col7a1
Col8a1	Col8a1
Col8a2	Col8a2
Col9a1	Col9a1
Col9a2	Col9a2
Col9a3	Col9a3
Colec10	Colec10
Colec11	Colec11
Colec12	Colec12
Colgalt1	Colgalt1
Colgalt2	Colgalt2
Colq	Colq
Commd1	Commd1
Commd10	Commd10
Commd2	Commd2
Commd3	Commd3
Commd4	Commd4
Commd5	Commd5
Commd6	Commd6
Commd7	Commd7
Commd8	Commd8
Commd9	Commd9
Comp	Comp
Comt	Comt
Comtd1	Comtd1
Copa	Copa
Copb1	Copb1
Copb2	Copb2
Cope	Cope
Copg1	Copg1
Copg2	Copg2
Coprs	Coprs
Cops2	Cops2
Cops3	Cops3
Cops4	Cops4
Cops5	Cops5
Cops6	Cops6
Cops7a	Cops7a
Cops7b	Cops7b
Cops8	Cops8
Copz1	Copz1
Copz2	Copz2
Coq10a	Coq10a
Coq10b	Coq10b
Coq2	Coq2
Coq3	Coq3
Coq4	Coq4
Coq5	Coq5
Coq6	Coq6
Coq7	Coq7
Coq9	Coq9
Corin	Corin
Coro1a	Coro1a
Coro1b	Coro1b
Coro1c	Coro1c
Coro2a	Coro2a
Coro2b	Coro2b
Coro6	Coro6
Coro7	Coro7
Cort	Cort
Cotl1	Cotl1
Cox10	Cox10
Cox11	Cox11
Cox14	Cox14
Cox15	Cox15
Cox17	Cox17
Cox18	Cox18
Cox19	Cox19
Cox20	Cox20
Cox4i1	Cox4i1
Cox4i2	Cox4i2
Cox5a	Cox5a
Cox5b	Cox5b
Cox6a1	Cox6a1
Cox6a2	Cox6a2
Cox6b1	Cox6b1
Cox6b2	Cox6b2
Cox6c	Cox6c
Cox7a1	Cox7a1
Cox7a2	Cox7a2
Cox7a2l	Cox7a2l
Cox7b	Cox7b
Cox7b2	Cox7b2
Cox7c	Cox7c
Cox8a	Cox8a
Cox8b	Cox8b
Cox8c	Cox8c
Cp	Cp
Cpa1	Cpa1
Cpa2	Cpa2
Cpa3	Cpa3
Cpa4	Cpa4
Cpa5	Cpa5
Cpa6	Cpa6
Cpb1	Cpb1
Cpb2	Cpb2
Cpd	Cpd
Cpe	Cpe
Cpeb1	Cpeb1
Cpeb2	Cpeb2
Cpeb3	Cpeb3
Cpeb4	Cpeb4
Cped1	Cped1
Cplx1	Cplx1
Cplx2	Cplx2
Cplx3	Cplx3
Cplx4	Cplx4
Cpm	Cpm
Cpn1	Cpn1
Cpn2	Cpn2
Cpne2	Cpne2
Cpne3	Cpne3
Cpne4	Cpne4
Cpne5	Cpne5
Cpne6	Cpne6
Cpne7	Cpne7
Cpne8	Cpne8
Cpne9	Cpne9
Cpox	Cpox
Cpped1	Cpped1
Cpq	Cpq
Cps1	Cps1
Cpsf1	Cpsf1
Cpsf2	Cpsf2
Cpsf3	Cpsf3
Cpsf3l	Cpsf3l
Cpsf4	Cpsf4
Cpsf4l	Cpsf4l
Cpsf6	Cpsf6
Cpsf7	Cpsf7
Cpt1a	Cpt1a
Cpt1b	Cpt1b
Cpt1c	Cpt1c
Cpt2	Cpt2
Cptp	Cptp
Cpvl	Cpvl
Cpxcr1	Cpxcr1
Cpxm1	Cpxm1
Cpxm2	Cpxm2
Cpz	Cpz
Cr1l	Cr1l
Cr2	Cr2
Crabp1	Crabp1
Crabp2	Crabp2
Cracr2a	Cracr2a
Cracr2b	Cracr2b
Cradd	Cradd
Cramp1l	Cramp1l
Crat	Crat
Crb1	Crb1
Crb2	Crb2
Crb3	Crb3
Crbn	Crbn
Crcp	Crcp
Crct1	Crct1
Creb1	Creb1
Creb3	Creb3
Creb3l1	Creb3l1
Creb3l2	Creb3l2
Creb3l3	Creb3l3
Creb3l4	Creb3l4
Creb5	Creb5
Crebbp	Crebbp
Crebl2	Crebl2
Crebrf	Crebrf
Crebzf	Crebzf
Creg1	Creg1
Creg2	Creg2
Creld1	Creld1
Creld2	Creld2
Crem	Crem
Crh	Crh
Crhbp	Crhbp
Crhr1	Crhr1
Crhr2	Crhr2
Crim1	Crim1
Crip1	Crip1
Crip2	Crip2
Crip3	Crip3
Cript	Cript
Crisp2	Crisp2
Crisp4	Crisp4
Crispld1	Crispld1
Crispld2	Crispld2
Crk	Crk
Crkl	Crkl
Crlf1	Crlf1
Crlf2	Crlf2
Crlf3	Crlf3
Crls1	Crls1
Crmp1	Crmp1
Crnde	Crnde
Crnkl1	Crnkl1
Crnn	Crnn
Crocc	Crocc
Crocc2	Crocc2
Crot	Crot
Crp	Crp
Crtac1	Crtac1
Crtam	Crtam
Crtap	Crtap
Crtc1	Crtc1
Crtc2	Crtc2
Crtc3	Crtc3
Crx	Crx
Crxos	Crxos
Cry1	Cry1
Cry2	Cry2
Cryaa	Cryaa
Cryab	Cryab
Cryba1	Cryba1
Cryba2	Cryba2
Cryba4	Cryba4
Crybb1	Crybb1
Crybb2	Crybb2
Crybb3	Crybb3
Crybg3	Crybg3
Cryga	Cryga
Crygb	Crygb
Crygc	Crygc
Crygn	Crygn
Crygs	Crygs
Cryl1	Cryl1
Crym	Crym
Cryz	Cryz
Cryzl1	Cryzl1
Cs	Cs
Csad	Csad
Csdc2	Csdc2
Csde1	Csde1
Cse1l	Cse1l
Csf1	Csf1
Csf1r	Csf1r
Csf2	Csf2
Csf2ra	Csf2ra
Csf3	Csf3
Csf3r	Csf3r
Csgalnact1	Csgalnact1
Csgalnact2	Csgalnact2
Csk	Csk
Csl	Csl
Csmd1	Csmd1
Csmd2	Csmd2
Csmd2os	Csmd2os
Csmd3	Csmd3
Csn1s1	Csn1s1
Csn1s2a	Csn1s2a
Csn1s2b	Csn1s2b
Csn2	Csn2
Csn3	Csn3
Csnk1a1	Csnk1a1
Csnk1d	Csnk1d
Csnk1e	Csnk1e
Csnk1g1	Csnk1g1
Csnk1g2	Csnk1g2
Csnk1g3	Csnk1g3
Csnk2a1	Csnk2a1
Csnk2a2	Csnk2a2
Csnk2b	Csnk2b
Csnka2ip	Csnka2ip
Cspg4	Cspg4
Cspg5	Cspg5
Cspp1	Cspp1
Csrnp1	Csrnp1
Csrnp2	Csrnp2
Csrnp3	Csrnp3
Csrp1	Csrp1
Csrp2	Csrp2
Csrp2bp	Csrp2bp
Csrp3	Csrp3
Cst10	Cst10
Cst11	Cst11
Cst12	Cst12
Cst13	Cst13
Cst3	Cst3
Cst6	Cst6
Cst7	Cst7
Cst8	Cst8
Cst9	Cst9
Csta1	Csta1
Cstad	Cstad
Cstb	Cstb
Cstf1	Cstf1
Cstf2	Cstf2
Cstf2t	Cstf2t
Cstf3	Cstf3
Cstl1	Cstl1
Ctag2	Ctag2
Ctage5	Ctage5
Ctbp1	Ctbp1
Ctbp2	Ctbp2
Ctbs	Ctbs
Ctc1	Ctc1
Ctcf	Ctcf
Ctcfl	Ctcfl
Ctcflos	Ctcflos
Ctdnep1	Ctdnep1
Ctdp1	Ctdp1
Ctdsp1	Ctdsp1
Ctdsp2	Ctdsp2
Ctdspl	Ctdspl
Ctdspl2	Ctdspl2
Ctf1	Ctf1
Ctf2	Ctf2
Ctgf	Ctgf
Cth	Cth
Cthrc1	Cthrc1
Ctif	Ctif
Ctla2a	Ctla2a
Ctla2b	Ctla2b
Ctla4	Ctla4
Ctnna1	Ctnna1
Ctnna2	Ctnna2
Ctnna3	Ctnna3
Ctnnal1	Ctnnal1
Ctnnb1	Ctnnb1
Ctnnbip1	Ctnnbip1
Ctnnbl1	Ctnnbl1
Ctnnd2	Ctnnd2
Ctns	Ctns
Ctps	Ctps
Ctps2	Ctps2
Ctr9	Ctr9
Ctrb1	Ctrb1
Ctrc	Ctrc
Ctrcos	Ctrcos
Ctrl	Ctrl
Cts6	Cts6
Cts7	Cts7
Cts8	Cts8
Ctsa	Ctsa
Ctsb	Ctsb
Ctsc	Ctsc
Ctsd	Ctsd
Ctse	Ctse
Ctsf	Ctsf
Ctsg	Ctsg
Ctsh	Ctsh
Ctsj	Ctsj
Ctsk	Ctsk
Ctsl	Ctsl
Ctsll3	Ctsll3
Ctso	Ctso
Ctsq	Ctsq
Ctsr	Ctsr
Ctss	Ctss
Ctsw	Ctsw
Ctsz	Ctsz
Cttn	Cttn
Cttnbp2	Cttnbp2
Cttnbp2nl	Cttnbp2nl
Ctu1	Ctu1
Ctu2	Ctu2
Ctxn1	Ctxn1
Ctxn2	Ctxn2
Ctxn3	Ctxn3
Cubn	Cubn
Cuedc1	Cuedc1
Cuedc2	Cuedc2
Cul1	Cul1
Cul2	Cul2
Cul3	Cul3
Cul4a	Cul4a
Cul4b	Cul4b
Cul5	Cul5
Cul7	Cul7
Cul9	Cul9
Cuta	Cuta
Cutal	Cutal
Cutc	Cutc
Cux1	Cux1
Cux2	Cux2
Cuzd1	Cuzd1
Cwc15	Cwc15
Cwc25	Cwc25
Cwc27	Cwc27
Cwf19l1	Cwf19l1
Cwf19l2	Cwf19l2
Cwh43	Cwh43
Cx3cl1	Cx3cl1
Cx3cr1	Cx3cr1
Cxadr	Cxadr
Cxcl1	Cxcl1
Cxcl10	Cxcl10
Cxcl11	Cxcl11
Cxcl12	Cxcl12
Cxcl13	Cxcl13
Cxcl14	Cxcl14
Cxcl15	Cxcl15
Cxcl16	Cxcl16
Cxcl17	Cxcl17
Cxcl2	Cxcl2
Cxcl3	Cxcl3
Cxcl5	Cxcl5
Cxcl9	Cxcl9
Cxcr1	Cxcr1
Cxcr2	Cxcr2
Cxcr3	Cxcr3
Cxcr4	Cxcr4
Cxcr5	Cxcr5
Cxcr6	Cxcr6
Cxx1c	Cxx1c
Cxxc1	Cxxc1
Cxxc4	Cxxc4
Cxxc5	Cxxc5
Cyb561	Cyb561
Cyb561a3	Cyb561a3
Cyb561d1	Cyb561d1
Cyb561d2	Cyb561d2
Cyb5a	Cyb5a
Cyb5b	Cyb5b
Cyb5d2	Cyb5d2
Cyb5r1	Cyb5r1
Cyb5r2	Cyb5r2
Cyb5r3	Cyb5r3
