"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Cluster"
"GO:0030449","GO:0030449","regulation of complement activation","5/28","44/15217",1.49539970758164e-08,9.80398646364799e-06,6.66775428998384e-06,"C1QA/C3/C1QB/A2M/C1QC",5,"3"
"GO:00025262","GO:0002526","acute inflammatory response","6/28","136/15217",1.46215466225318e-07,3.41266898169893e-05,2.32097813755558e-05,"C1QA/C3/C1QB/A2M/C1QC/HAMP",6,"3"
"GO:0002455","GO:0002455","humoral immune response mediated by circulating immunoglobulin","4/28","41/15217",8.86089038029245e-07,0.00010722286690605,7.29229618429279e-05,"C1QA/C3/C1QB/C1QC",4,"3"
"GO:0022617","GO:0022617","extracellular matrix disassembly","4/28","80/15217",1.3173344438682e-05,0.00119109629745122,0.000810072257500764,"CST3/HTRA1/FSCN1/A2M",4,"3"
"GO:00026972","GO:0002697","regulation of immune effector process","6/28","321/15217",2.14087784234211e-05,0.00166560296134216,0.00113278729342172,"C1QA/HTRA1/C3/C1QB/A2M/C1QC",6,"3"
"GO:0022409","GO:0022409","positive regulation of cell-cell adhesion","12/47","238/15217",5.23147913222541e-12,1.28275868322167e-08,6.77889559133629e-09,"IL1B/CCL2/CD83/HLA-DRB1/TNF/NR4A3/HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DPB1/CITED2/BCL6",12,"5"
"GO:00018192","GO:0001819","positive regulation of cytokine production","13/47","382/15217",8.33866194408709e-11,6.81546636230051e-08,3.60171679058639e-08,"EGR1/IL1B/CCL2/CD83/TNF/IL1A/NR4A3/PTGS2/HLA-DPA1/CD14/HLA-DPB1/C3AR1/C5AR1",13,"5"
"GO:1990266","GO:1990266","neutrophil migration","8/47","82/15217",1.32980162053674e-10,8.15168393389019e-08,4.30785735494927e-08,"IL1B/CCL2/CCL4/CCL3L3/IL1A/CCL8/C3AR1/C5AR1",8,"5"
"GO:00713461","GO:0071346","cellular response to interferon-gamma","9/47","130/15217",1.89843646155074e-10,9.30993240744482e-08,4.91994796667149e-08,"CCL2/HLA-DRB1/CCL4/CCL3L3/CCL8/HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DPB1",9,"5"
"GO:0002696","GO:0002696","positive regulation of leukocyte activation","11/47","285/15217",7.85660237090925e-10,1.88467751318709e-07,9.95980947339792e-08,"IL1B/CCL2/CD83/HLA-DRB1/CDKN1A/NR4A3/HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DPB1/BCL6",11,"5"
"GO:00105731","GO:0010573","vascular endothelial growth factor production","6/47","34/15217",7.85693877019242e-10,1.88467751318709e-07,9.95980947339792e-08,"IL1B/CCL2/IL1A/PTGS2/C3AR1/C5AR1",6,"5"
"GO:00713471","GO:0071347","cellular response to interleukin-1","7/47","80/15217",4.51027797470401e-09,5.89184152244806e-07,3.11361591574378e-07,"EGR1/CCL2/CCL4/CCL3L3/IL1A/CCL8/IRAK2",7,"5"
"GO:00071592","GO:0007159","leukocyte cell-cell adhesion","11/47","340/15217",5.00589491316582e-09,6.1372271635413e-07,3.2432929674248e-07,"IL1B/CCL2/CD83/HLA-DRB1/TNF/NR4A3/HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DPB1/BCL6",11,"5"
"GO:0050870","GO:0050870","positive regulation of T cell activation","9/47","200/15217",8.6500369403762e-09,1.00999478941916e-06,5.33744134015193e-07,"IL1B/CCL2/CD83/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DPB1/BCL6",9,"5"
"GO:00507271","GO:0050727","regulation of inflammatory response","10/47","295/15217",1.7689760727573e-08,1.66828051169265e-06,8.81623297799284e-07,"IL1B/TNF/PTGS2/OSM/TMSB4X/GPX1/APOE/C3AR1/C5AR1/BCL6",10,"5"
"GO:00016601","GO:0001660","fever generation","4/47","11/15217",2.59423127048486e-08,2.27180538401031e-06,1.20056341878453e-06,"IL1B/TNF/IL1A/PTGS2",4,"5"
"GO:00026871","GO:0002687","positive regulation of leukocyte migration","7/47","108/15217",3.71109854184968e-08,3.03320454153847e-06,1.60293414211121e-06,"CCL2/CCL4/TNF/IL1A/CCL8/C3AR1/C5AR1",7,"5"
"GO:00321031","GO:0032103","positive regulation of response to external stimulus","9/47","256/15217",7.31587622767433e-08,5.40119844514502e-06,2.85432956382481e-06,"IL1B/CCL2/CCL4/TNF/PTGS2/OSM/TMSB4X/C3AR1/C5AR1",9,"5"
"GO:0043523","GO:0043523","regulation of neuron apoptotic process","8/47","182/15217",7.5798665483582e-08,5.40119844514502e-06,2.85432956382481e-06,"BTG2/NR4A2/CCL2/MCL1/NR4A3/GPX1/APOE/C5AR1",8,"5"
"GO:19012141","GO:1901214","regulation of neuron death","9/47","259/15217",8.08292395050857e-08,5.40119844514502e-06,2.85432956382481e-06,"EGR1/BTG2/NR4A2/CCL2/MCL1/NR4A3/GPX1/APOE/C5AR1",9,"5"
"GO:0002757","GO:0002757","immune response-activating signal transduction","11/47","455/15217",9.97769374558719e-08,6.43823817478416e-06,3.40236592820439e-06,"HLA-DRB1/IRAK2/NR4A3/HLA-DRA/HLA-DPA1/CD14/ACTG1/HLA-DQB1/HLA-DPB1/C3AR1/C5AR1",11,"5"
"GO:00025263","GO:0002526","acute inflammatory response","7/47","136/15217",1.8208153749651e-07,1.12215416145207e-05,5.930161297963e-06,"IL1B/TNF/IL1A/PTGS2/OSM/C3AR1/C5AR1",7,"5"
"GO:0031663","GO:0031663","lipopolysaccharide-mediated signaling pathway","5/47","49/15217",3.88997350947278e-07,1.87023824416221e-05,9.88350338526521e-06,"IL1B/CCL2/TNF/IRAK2/CD14",5,"5"
"GO:00421102","GO:0042110","T cell activation","10/47","429/15217",5.81343649922118e-07,2.68953703699818e-05,1.42131883426838e-05,"EGR1/IL1B/CCL2/CD83/HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DPB1/BCL6",10,"5"
"GO:00310991","GO:0031099","regeneration","7/47","163/15217",6.23962233129449e-07,2.83325073265446e-05,1.4972660993808e-05,"CCL2/CDKN1A/NR4A3/SPP1/GPX1/APOE/C5AR1",7,"5"
"GO:00400171","GO:0040017","positive regulation of locomotion","10/47","435/15217",6.59965544080688e-07,2.942246389247e-05,1.5548661909346e-05,"IL1B/CCL2/CCL4/TNF/IL1A/CCL8/PTGS2/TMSB4X/C3AR1/C5AR1",10,"5"
"GO:00316221","GO:0031622","positive regulation of fever generation","3/47","7/15217",9.58215403237896e-07,4.1956145870345e-05,2.21722398756739e-05,"IL1B/TNF/PTGS2",3,"5"
"GO:00434101","GO:0043410","positive regulation of MAPK cascade","10/47","459/15217",1.07559505106946e-06,4.54717080210745e-05,2.40300818124593e-05,"IL1B/CCL2/CCL4/CCL3L3/TNF/CCL8/IRAK2/OSM/C5AR1/GADD45B",10,"5"
"GO:20012341","GO:2001234","negative regulation of apoptotic signaling pathway","7/47","196/15217",2.14863518030528e-06,8.23195853454459e-05,4.35027945222992e-05,"IL1B/NR4A2/MCL1/TNF/IL1A/PTGS2/GPX1",7,"5"
"GO:00450801","GO:0045080","positive regulation of chemokine biosynthetic process","3/47","9/15217",2.28975550912408e-06,8.50678864904885e-05,4.49551679702032e-05,"EGR1/IL1B/TNF",3,"5"
"GO:19010991","GO:1901099","negative regulation of signal transduction in absence of ligand","4/47","33/15217",3.06066903333525e-06,0.000108764644488957,5.7478010374305e-05,"IL1B/MCL1/TNF/IL1A",4,"5"
"GO:19040181","GO:1904018","positive regulation of vasculature development","6/47","140/15217",4.28840652437191e-06,0.000146044066635554,7.71787782383306e-05,"EGR1/IL1B/IL1A/PTGS2/C3AR1/C5AR1",6,"5"
"GO:0043534","GO:0043534","blood vessel endothelial cell migration","5/47","82/15217",5.1589421866589e-06,0.000168663016555835,8.913203974424e-05,"EGR3/PTGS2/TMSB4X/GPX1/APOE",5,"5"
"GO:00094081","GO:0009408","response to heat","6/47","156/15217",7.99983219247117e-06,0.000236332391999269,0.000124892751159569,"CCL2/CDKN1A/IL1A/PTGS2/OSM/CD14",6,"5"
"GO:0050707","GO:0050707","regulation of cytokine secretion","6/47","160/15217",9.24910308819263e-06,0.000254392384323855,0.000134436775608597,"IL1B/SRGN/TNF/IL1A/TMSB4X/CD14",6,"5"
"GO:00025051","GO:0002505","antigen processing and presentation of polysaccharide antigen via MHC class II","2/47","2/15217",9.33740399231115e-06,0.000254392384323855,0.000134436775608597,"HLA-DRB1/HLA-DRA",2,"5"
"GO:00510441","GO:0051044","positive regulation of membrane protein ectodomain proteolysis","3/47","14/15217",9.81520905292552e-06,0.000264471347228279,0.000139763127173526,"IL1B/TNF/APOE",3,"5"
"GO:00198861","GO:0019886","antigen processing and presentation of exogenous peptide antigen via MHC class II","5/47","95/15217",1.06321492619473e-05,0.000283369891198855,0.000149750294524681,"HLA-DRB1/HLA-DRA/HLA-DPA1/HLA-DQB1/HLA-DPB1",5,"5"
"GO:00104691","GO:0010469","regulation of receptor activity","9/47","469/15217",1.1169154786183e-05,0.000288834072476219,0.000152637908138673,"IL1B/CCL2/CCL4/CCL3L3/TNF/IL1A/CCL8/SPP1/OSM",9,"5"
"GO:0042345","GO:0042345","regulation of NF-kappaB import into nucleus","4/47","46/15217",1.18521824257741e-05,0.000296546441918349,0.000156713604362277,"IL1B/TNF/PTGS2/TMSB4X",4,"5"
"GO:19055231","GO:1905523","positive regulation of macrophage migration","3/47","16/15217",1.5034955651987e-05,0.000344539357557684,0.000182076049263119,"CCL2/C3AR1/C5AR1",3,"5"
"GO:0048514","GO:0048514","blood vessel morphogenesis","9/47","488/15217",1.5334718887352e-05,0.00034815491399803,0.000183986734408678,"IL1B/EGR3/CCL2/IL1A/PTGS2/GPX1/APOE/C3AR1/C5AR1",9,"5"
"GO:00485451","GO:0048545","response to steroid hormone","8/47","373/15217",1.64793461048852e-05,0.000369499838870637,0.000195266721752277,"NR4A2/CCL2/CDKN1A/TNF/NR4A3/PTGS2/SPP1/NRIP1",8,"5"
"GO:0050678","GO:0050678","regulation of epithelial cell proliferation","7/47","269/15217",1.71455658973081e-05,0.000378747095317113,0.000200153547838656,"EGR3/CCL2/TNF/NR4A3/GPX1/APOE/C5AR1",7,"5"
"GO:00069591","GO:0006959","humoral immune response","6/47","183/15217",1.98694482525215e-05,0.000431149443497191,0.000227846211447172,"CCL2/CD83/TNF/HLA-DQB1/C3AR1/C5AR1",6,"5"
"GO:0043434","GO:0043434","response to peptide hormone","8/47","385/15217",2.06999325299248e-05,0.000445230127748909,0.000235287321739034,"EGR1/IL1B/BTG2/NR4A2/CCL2/EGR2/NR4A3/PTGS2",8,"5"
"GO:00103321","GO:0010332","response to gamma radiation","4/47","54/15217",2.2557946263775e-05,0.000480974645554576,0.000254176950578554,"EGR1/CCL2/CDKN1A/GPX1",4,"5"
"GO:00458071","GO:0045807","positive regulation of endocytosis","5/47","112/15217",2.36730622490134e-05,0.000496122637902401,0.000262182092924296,"IL1B/CCL2/TNF/APOE/CD14",5,"5"
"GO:00458341","GO:0045834","positive regulation of lipid metabolic process","5/47","112/15217",2.36730622490134e-05,0.000496122637902401,0.000262182092924296,"IL1B/TNF/NR4A3/PTGS2/APOE",5,"5"
"GO:0045444","GO:0045444","fat cell differentiation","6/47","190/15217",2.45639770621465e-05,0.000510431116579519,0.000269743583974151,"NR4A2/EGR2/TNF/NR4A3/PTGS2/GPX1",6,"5"
"GO:00461361","GO:0046136","positive regulation of vitamin metabolic process","2/47","3/15217",2.79569792224604e-05,0.000562461960701924,0.000297239921706907,"IL1B/TNF",2,"5"
"GO:00096361","GO:0009636","response to toxic substance","6/47","197/15217",3.01145294956496e-05,0.000595490534865587,0.000314694276817866,"CCL4/CDKN1A/TNF/PTGS2/GPX1/APOE",6,"5"
"GO:0050921","GO:0050921","positive regulation of chemotaxis","5/47","119/15217",3.1713759810715e-05,0.000619741941336355,0.000327510230009896,"CCL2/CCL4/TMSB4X/C3AR1/C5AR1",5,"5"
"GO:00170381","GO:0017038","protein import","7/47","308/15217",4.08199289956538e-05,0.000730587342316374,0.0003860878416723,"IL1B/CDKN1A/TNF/PTGS2/TMSB4X/APOE/BCL6",7,"5"
"GO:0019915","GO:0019915","lipid storage","4/47","63/15217",4.16333372374425e-05,0.00073613457541587,0.000389019345040326,"IL1B/TNF/APOE/NRIP1",4,"5"
"GO:19004071","GO:1900407","regulation of cellular response to oxidative stress","4/47","64/15217",4.43087212251762e-05,0.000765105524254451,0.00040432939828163,"MCL1/TNF/NR4A3/GPX1",4,"5"
"GO:00026973","GO:0002697","regulation of immune effector process","7/47","321/15217",5.30502389804366e-05,0.000878913418783991,0.000464472575995146,"IL1B/CCL2/TNF/NR4A3/C3AR1/C5AR1/BCL6",7,"5"
"GO:0071376","GO:0071376","cellular response to corticotropin-releasing hormone stimulus","2/47","4/15217",5.5803732541719e-05,0.000896118460936807,0.000473564791539972,"NR4A2/NR4A3",2,"5"
"GO:00331981","GO:0033198","response to ATP","3/47","27/15217",7.66803490050798e-05,0.00116061861580528,0.000613343142464283,"IL1B/CCL2/PTGS2",3,"5"
"GO:00327631","GO:0032763","regulation of mast cell cytokine production","2/47","5/15217",9.2822909504099e-05,0.0013710950247232,0.000724571982241889,"NR4A3/BCL6",2,"5"
"GO:0098869","GO:0098869","cellular oxidant detoxification","4/47","80/15217",0.000106380923796088,0.00151654665783725,0.00080143768171961,"TNF/PTGS2/GPX1/APOE",4,"5"
"GO:00508901","GO:0050890","cognition","6/47","248/15217",0.000108219959476184,0.00153384589962777,0.000810579678218333,"BTG2/EGR2/SGK1/PTGS2/HLA-DRA/APOE",6,"5"
"GO:2000379","GO:2000379","positive regulation of reactive oxygen species metabolic process","4/47","83/15217",0.000122768926556918,0.00169117644897507,0.000893722936673954,"IL1B/CDKN1A/TNF/PTGS2",4,"5"
"GO:00069791","GO:0006979","response to oxidative stress","7/47","380/15217",0.000152301874501444,0.00195536895257707,0.00103333870551317,"NR4A2/MCL1/TNF/NR4A3/PTGS2/GPX1/APOE",7,"5"
"GO:0070661","GO:0070661","leukocyte proliferation","6/47","264/15217",0.000152314628850824,0.00195536895257707,0.00103333870551317,"IL1B/CDKN1A/CCL8/HLA-DPA1/HLA-DPB1/BCL6",6,"5"
"GO:0051170","GO:0051170","nuclear import","6/47","278/15217",0.000201633989545402,0.00243289669079385,0.00128569409563288,"IL1B/CDKN1A/TNF/PTGS2/TMSB4X/BCL6",6,"5"
"GO:00352341","GO:0035234","ectopic germ cell programmed cell death","2/47","8/15217",0.000258370999455298,0.00293298930863143,0.00154997417314557,"IL1B/IL1A",2,"5"
"GO:0007566","GO:0007566","embryo implantation","3/47","46/15217",0.000381916179270824,0.00400195928022248,0.0021148844655078,"IL1B/PTGS2/SPP1",3,"5"
"GO:0046822","GO:0046822","regulation of nucleocytoplasmic transport","5/47","203/15217",0.000391330198362867,0.00403168758985609,0.00213059475535024,"IL1B/CDKN1A/TNF/PTGS2/TMSB4X",5,"5"
"GO:0006909","GO:0006909","phagocytosis","5/47","209/15217",0.000447128735862758,0.00449327729645689,0.00237452749718315,"IL1B/CCL2/TNF/CD14/ACTG1",5,"5"
"GO:19059521","GO:1905952","regulation of lipid localization","4/47","119/15217",0.000489156486832462,0.00485591783689553,0.00256616933855001,"IL1B/TNF/SPP1/APOE",4,"5"
"GO:1901617","GO:1901617","organic hydroxy compound biosynthetic process","5/47","216/15217",0.00051960223523614,0.00501600268031108,0.00265076813748731,"CH25H/IL1B/NR4A2/TNF/APOE",5,"5"
"GO:0007611","GO:0007611","learning or memory","5/47","218/15217",0.000541847531003117,0.00516968928412312,0.00273198570823197,"BTG2/EGR2/SGK1/PTGS2/APOE",5,"5"
"GO:0043270","GO:0043270","positive regulation of ion transport","5/47","218/15217",0.000541847531003117,0.00516968928412312,0.00273198570823197,"IL1B/CCL2/CCL4/TMSB4X/APOE",5,"5"
"GO:0001885","GO:0001885","endothelial cell development","3/47","52/15217",0.000548851387164355,0.00517609077433461,0.00273536865424826,"IL1B/TNF/GPX1",3,"5"
"GO:0072593","GO:0072593","reactive oxygen species metabolic process","5/47","220/15217",0.000564803090437039,0.00528586709065504,0.00279338129501002,"IL1B/CDKN1A/TNF/PTGS2/GPX1",5,"5"
"GO:00323701","GO:0032370","positive regulation of lipid transport","3/47","53/15217",0.000580526416684654,0.00540724481134813,0.00285752484020329,"IL1B/SPP1/APOE",3,"5"
"GO:00457871","GO:0045787","positive regulation of cell cycle","6/47","340/15217",0.000590373250283813,0.00540724481134813,0.00285752484020329,"IL1B/BTG2/CDKN1A/IL1A/NR4A3/CITED2",6,"5"
"GO:0001818","GO:0001818","negative regulation of cytokine production","5/47","224/15217",0.00061290355858533,0.00544902000054456,0.00287960145130521,"CD83/SRGN/TNF/TMSB4X/BCL6",5,"5"
"GO:00015031","GO:0001503","ossification","6/47","344/15217",0.000627777141438296,0.00555707419063791,0.00293670401334046,"EGR2/SRGN/TNF/PTGS2/SPP1/TMSB4X",6,"5"
"GO:0060135","GO:0060135","maternal process involved in female pregnancy","3/47","55/15217",0.000647333233149015,0.00568910784115192,0.00300647881534215,"CCL2/PTGS2/SPP1",3,"5"
"GO:00704821","GO:0070482","response to oxygen levels","6/47","352/15217",0.00070810689950104,0.0061136553435794,0.00323083615005849,"EGR1/NR4A2/CCL2/CDKN1A/PTGS2/CITED2",6,"5"
"GO:0071318","GO:0071318","cellular response to ATP","2/47","13/15217",0.000712691104892987,0.00613164417262317,0.00324034256739895,"CCL2/PTGS2",2,"5"
"GO:0002920","GO:0002920","regulation of humoral immune response","3/47","58/15217",0.000756435031106498,0.00641791936426689,0.00339162820357712,"TNF/C3AR1/C5AR1",3,"5"
"GO:0033157","GO:0033157","regulation of intracellular protein transport","6/47","357/15217",0.000762227758879346,0.00644476711990399,0.00340581622933022,"IL1B/CCL2/CDKN1A/TNF/PTGS2/TMSB4X",6,"5"
"GO:0043535","GO:0043535","regulation of blood vessel endothelial cell migration","3/47","61/15217",0.000876596754512167,0.00723708835711728,0.0038245281049246,"PTGS2/TMSB4X/APOE",3,"5"
"GO:0035914","GO:0035914","skeletal muscle cell differentiation","3/47","62/15217",0.000919182448711844,0.00753791091719546,0.00398350147637487,"EGR1/BTG2/EGR2",3,"5"
"GO:0019372","GO:0019372","lipoxygenase pathway","2/47","15/15217",0.000955620881561512,0.00769193122250229,0.00406489539576729,"PTGS2/GPX1",2,"5"
"GO:00356901","GO:0035690","cellular response to drug","3/47","63/15217",0.000963059904285564,0.00769193122250229,0.00406489539576729,"IL1B/CCL2/CCL4",3,"5"
"GO:0051702","GO:0051702","interaction with symbiont","3/47","63/15217",0.000963059904285564,0.00769193122250229,0.00406489539576729,"CCL4/GPX1/APOE",3,"5"
"GO:00466511","GO:0046651","lymphocyte proliferation","5/47","249/15217",0.00098672661538671,0.00780468922880069,0.00412448374716822,"IL1B/CDKN1A/HLA-DPA1/HLA-DPB1/BCL6",5,"5"
"GO:00335551","GO:0033555","multicellular organismal response to stress","3/47","65/15217",0.00105475100188852,0.00823646323767721,0.00435266001785037,"NR4A2/OSM/APOE",3,"5"
"GO:00345991","GO:0034599","cellular response to oxidative stress","5/47","253/15217",0.00105948601269185,0.00824717366069976,0.00435832007225955,"NR4A2/MCL1/TNF/NR4A3/GPX1",5,"5"
"GO:00486611","GO:0048661","positive regulation of smooth muscle cell proliferation","3/47","68/15217",0.00120235212193163,0.00912745325998871,0.00482351462309869,"TNF/NR4A3/PTGS2",3,"5"
"GO:0051781","GO:0051781","positive regulation of cell division","3/47","69/15217",0.00125429493457925,0.00934811908689457,0.00494012818578484,"IL1B/IL1A/OSM",3,"5"
"GO:0034341","GO:0034341","response to interferon-gamma","12/79","150/15217",1.5679618712926e-11,4.26172036617328e-08,2.80747699270391e-08,"SLC11A1/HLA-DRB1/HLA-B/LGALS9/CCL4/CCL3L3/EDN1/B2M/HLA-DRA/HLA-C/GAPDH/HLA-DQB1",12,"6"
"GO:0030595","GO:0030595","leukocyte chemotaxis","12/79","175/15217",9.61334852132931e-11,8.70969376032435e-08,5.73765117009865e-08,"PADI2/SERPINE1/LGALS9/CCL4/CCL3L3/EDN1/PLA2G7/CXCR4/C3AR1/CH25H/FCER1G/C5AR1",12,"6"
"GO:0043299","GO:0043299","leukocyte degranulation","15/79","493/15217",2.94563438229286e-08,1.24297986167878e-05,8.18833021461448e-06,"SLC11A1/PADI2/CTSB/LGALS9/ASAH1/CTSD/FTL/B2M/C3AR1/FCER1G/S100A11/GSN/CD63/SLC44A2/C5AR1",15,"6"
"GO:00480021","GO:0048002","antigen processing and presentation of peptide antigen","10/79","181/15217",3.13207206241706e-08,1.24297986167878e-05,8.18833021461448e-06,"SLC11A1/HLA-DRB1/HLA-B/TREM2/CTSD/B2M/HLA-DRA/FCER1G/HLA-C/HLA-DQB1",10,"6"
"GO:00069592","GO:0006959","humoral immune response","10/79","183/15217",3.47676146117438e-08,1.24297986167878e-05,8.18833021461448e-06,"SLC11A1/VSIG4/TREM2/C1QA/CD83/C1QB/C3AR1/GAPDH/HLA-DQB1/C5AR1",10,"6"
"GO:0002688","GO:0002688","regulation of leukocyte chemotaxis","8/79","97/15217",3.65851320582422e-08,1.24297986167878e-05,8.18833021461448e-06,"PADI2/SERPINE1/LGALS9/CCL4/EDN1/PLA2G7/C3AR1/C5AR1",8,"6"
"GO:0043312","GO:0043312","neutrophil degranulation","14/79","452/15217",7.25810023353176e-08,2.02739139909807e-05,1.33557676692066e-05,"SLC11A1/PADI2/CTSB/ASAH1/CTSD/FTL/B2M/C3AR1/FCER1G/S100A11/GSN/CD63/SLC44A2/C5AR1",14,"6"
"GO:00509201","GO:0050920","regulation of chemotaxis","9/79","163/15217",1.61294118207305e-07,2.7399838330466e-05,1.80500852020149e-05,"PADI2/SERPINE1/LGALS9/CCL4/EDN1/PLA2G7/CXCR4/C3AR1/C5AR1",9,"6"
"GO:00421103","GO:0042110","T cell activation","13/79","429/15217",2.88390056348475e-07,4.61084807738326e-05,3.03747050061149e-05,"SLC11A1/VSIG4/HLA-DRB1/LGALS9/CD83/MAFB/GPNMB/B2M/HLA-DRA/LCP1/FCER1G/GSN/HLA-DQB1",13,"6"
"GO:00507272","GO:0050727","regulation of inflammatory response","11/79","295/15217",3.38273014080502e-07,5.10792251261558e-05,3.36492629795867e-05,"LPL/SERPINE1/C1QA/PER1/PLA2G7/APOE/C1QB/GPX1/C3AR1/FCER1G/C5AR1",11,"6"
"GO:00458072","GO:0045807","positive regulation of endocytosis","7/79","112/15217",1.8147029452333e-06,0.000197294504205764,0.000129970935151235,"SLC11A1/SERPINE1/APOE/B2M/FCER1G/PPT1/CD63",7,"6"
"GO:0071402","GO:0071402","cellular response to lipoprotein particle stimulus","4/79","19/15217",2.45777028914533e-06,0.00024741554244063,0.000162988977069637,"LPL/CD9/APOE/FCER1G",4,"6"
"GO:00301931","GO:0030193","regulation of blood coagulation","6/79","80/15217",3.57513689910802e-06,0.000303663190367987,0.00020004302188759,"SERPINE1/EDN1/CD9/APOE/FCER1G/PDPN",6,"6"
"GO:00018193","GO:0001819","positive regulation of cytokine production","11/79","382/15217",4.22770022831086e-06,0.000337967330016145,0.000222641426884111,"SLC11A1/LPL/SERPINE1/LGALS9/SEC14L1/CD83/B2M/C3AR1/FCER1G/GAPDH/C5AR1",11,"6"
"GO:0034367","GO:0034367","macromolecular complex remodeling","4/79","23/15217",5.52705507941899e-06,0.0003851932232272,0.000253752245346605,"LPL/APOC1/PLA2G7/APOE",4,"6"
"GO:00508651","GO:0050865","regulation of cell activation","12/79","480/15217",6.35207673050021e-06,0.00043162361383749,0.000284339013646865,"VSIG4/HLA-DRB1/LGALS9/CD83/GPNMB/CD9/APOE/HLA-DRA/FCER1G/GSN/HLA-DQB1/PDPN",12,"6"
"GO:00321032","GO:0032103","positive regulation of response to external stimulus","9/79","256/15217",6.91545463470475e-06,0.000458444041393354,0.000302007402660662,"LPL/SERPINE1/LGALS9/CCL4/EDN1/PLA2G7/C3AR1/FCER1G/C5AR1",9,"6"
"GO:0006956","GO:0006956","complement activation","5/79","56/15217",1.03024178971803e-05,0.00059578663499013,0.000392484050237485,"VSIG4/C1QA/C1QB/C3AR1/C5AR1",5,"6"
"GO:19030341","GO:1903034","regulation of response to wounding","7/79","146/15217",1.05483490920149e-05,0.000597300267335346,0.000393481179945557,"SPP1/SERPINE1/EDN1/CD9/APOE/FCER1G/PDPN",7,"6"
"GO:0070613","GO:0070613","regulation of protein processing","6/79","99/15217",1.23295919360052e-05,0.000657094723177691,0.000432871741654177,"SERPINE1/C1QA/C1QB/C3AR1/GSN/C5AR1",6,"6"
"GO:0048872","GO:0048872","homeostasis of number of cells","8/79","224/15217",2.06763220108013e-05,0.00102178624046105,0.000673118157710488,"TSC22D3/LGALS9/MAFB/B2M/FCER1G/LIPA/DNASE2/HCLS1",8,"6"
"GO:00025061","GO:0002506","polysaccharide assembly with MHC class II protein complex","2/79","2/15217",2.66128970400654e-05,0.00118580088778521,0.000781165450649719,"HLA-DRB1/HLA-DRA",2,"6"
"GO:00352831","GO:0035283","central nervous system segmentation","2/79","2/15217",2.66128970400654e-05,0.00118580088778521,0.000781165450649719,"MAFB/EGR2",2,"6"
"GO:00026831","GO:0002683","negative regulation of immune system process","10/79","383/15217",2.78430321103894e-05,0.00122060260122642,0.000804091640403605,"TSC22D3/VSIG4/PADI2/LGALS9/SEC14L1/MAFB/GPNMB/GPX1/FCER1G/LILRA4",10,"6"
"GO:00224071","GO:0022407","regulation of cell-cell adhesion","10/79","390/15217",3.24820229455765e-05,0.00140136727565202,0.000923173283716385,"VSIG4/HLA-DRB1/LGALS9/CD83/GPNMB/CD9/HLA-DRA/GSN/HLA-DQB1/PDPN",10,"6"
"GO:00485141","GO:0048514","blood vessel morphogenesis","11/79","488/15217",4.15466851063728e-05,0.00166064544292825,0.0010939769561291,"SERPINE1/ADGRG1/EGR3/MYO1E/EDN1/GPNMB/APOE/GPX1/C3AR1/TGFBR1/C5AR1",11,"6"
"GO:00321021","GO:0032102","negative regulation of response to external stimulus","8/79","249/15217",4.40036992371003e-05,0.00171113908712949,0.00112724045823449,"SPP1/PADI2/SERPINE1/SEC14L1/EDN1/CD9/APOE/GPX1",8,"6"
"GO:0097006","GO:0097006","regulation of plasma lipoprotein particle levels","5/79","76/15217",4.5954831458147e-05,0.00173479488754505,0.00114282409810392,"LPL/APOC1/PLA2G7/APOE/LIPA",5,"6"
"GO:0006898","GO:0006898","receptor-mediated endocytosis","8/79","269/15217",7.57684822031946e-05,0.00257463605727466,0.00169608300740645,"SERPINE1/APOC1/CD9/APOE/B2M/FCER1G/PPT1/CD63",8,"6"
"GO:00304491","GO:0030449","regulation of complement activation","4/79","44/15217",7.80055372525909e-05,0.00257463605727466,0.00169608300740645,"C1QA/C1QB/C3AR1/C5AR1",4,"6"
"GO:00400172","GO:0040017","positive regulation of locomotion","10/79","435/15217",8.12308342476325e-05,0.00259747538217724,0.00171112878086963,"SERPINE1/LGALS9/CCL4/EDN1/GPNMB/PLA2G7/C3AR1/TGFBR1/C5AR1/PDPN",10,"6"
"GO:00024491","GO:0002449","lymphocyte mediated immunity","7/79","209/15217",0.000104652246898607,0.00319600906820691,0.00210542249526353,"SLC11A1/LGALS9/C1QA/B2M/C1QB/FCER1G/HLA-DQB1",7,"6"
"GO:00027571","GO:0002757","immune response-activating signal transduction","10/79","455/15217",0.000117689522872844,0.0035542235907599,0.00234140208662816,"CTSB/HLA-DRB1/SEC14L1/WIPF3/HLA-DRA/C3AR1/FCER1G/HLA-DQB1/C5AR1/LILRA4",10,"6"
