5S_rRNA__chr2	5S_rRNA__chr2|RNA5SP100__chr2
CENPN__chr16	CENPN__chr16
CENPO__chr2	CENPO__chr2
CENPP__chr9	CENPP__chr9
CENPQ__chr6	CENPQ__chr6
CENPT__chr16	CENPT__chr16
CENPU__chr4	CENPU__chr4
CENPVP3__chrX	CENPVP3__chrX
CENPV__chr17	CENPV__chr17
CENPW__chr6	CENPW__chr6
CEP104__chr1	CEP104__chr1
CEP112__chr17	CEP112__chr17
CEP120__chr5	CEP120__chr5
CEP126__chr11	CEP126__chr11
CEP128__chr14	CEP128__chr14
CEP131__chr17	CEP131__chr17
CEP135__chr4	CEP135__chr4
CEP152__chr15	CEP152__chr15
CEP162__chr6	CEP162__chr6
CEP164__chr11	CEP164__chr11
CEP170B__chr14	CEP170B__chr14
CEP170__chr1	CEP170__chr1
CEP192__chr18	CEP192__chr18
CEP19__chr3	CEP19__chr3
CEP250__chr20	CEP250__chr20
CEP290__chr12	CEP290__chr12
CEP295NL__chr17	CEP295NL__chr17
CEP295__chr11	CEP295__chr11
CEP350__chr1	CEP350__chr1
CEP41__chr7	CEP41__chr7
CEP44__chr4	CEP44__chr4
CEP55__chr10	CEP55__chr10
CEP57L1__chr6	CEP57L1__chr6
CEP57__chr11	CEP57__chr11
CEP63__chr3	CEP63__chr3
CEP68__chr2	CEP68__chr2
CEP70__chr3	CEP70__chr3
CEP72__chr5	CEP72__chr5
CEP76__chr18	CEP76__chr18
CEP78__chr9	CEP78__chr9
CEP83-AS1__chr12	CEP83-AS1__chr12
CEP83__chr12	CEP83__chr12
CEP85L__chr6	CEP85L__chr6
CEP85__chr1	CEP85__chr1
CEP89__chr19	CEP89__chr19
CEP95__chr17	CEP95__chr17
CEP97__chr3	CEP97__chr3
CEPT1__chr1	CEPT1__chr1
CER1__chr9	CER1__chr9
CERCAM__chr9	CERCAM__chr9
CERKL__chr2	CERKL__chr2
CERK__chr22	CERK__chr22
CERS2__chr1	CERS2__chr1
CERS3-AS1__chr15	CERS3-AS1__chr15
CERS3__chr15	CERS3__chr15
CERS4__chr19	CERS4__chr19
CERS5__chr12	CERS5__chr12
CERS6-AS1__chr2	CERS6-AS1__chr2
CERS6__chr2	CERS6__chr2
CES1__chr16	CES1__chr16
CES2__chr16	CES2__chr16
CES3__chr16	CES3__chr16
CES4A__chr16	CES4A__chr16
CES5A__chr16	CES5A__chr16
CETN1__chr18	CETN1__chr18
CETN2__chrX	CETN2__chrX
CETN3__chr5	CETN3__chr5
CETP__chr16	CETP__chr16
CFAP100__chr3	CFAP100__chr3
CFAP126__chr1	CFAP126__chr1
CFAP157__chr9	CFAP157__chr9
CFAP161__chr15	CFAP161__chr15
CFAP20__chr16	CFAP20__chr16
CFAP221__chr2	CFAP221__chr2
CFAP36__chr2	CFAP36__chr2
CFAP43__chr10	CFAP43__chr10
CFAP44-AS1__chr3	CFAP44-AS1__chr3
CFAP44__chr3	CFAP44__chr3
CFAP45__chr1	CFAP45__chr1
CFAP46__chr10	CFAP46__chr10
CFAP47__chrX	CFAP47__chrX
CFAP52__chr17	CFAP52__chr17
CFAP53__chr18	CFAP53__chr18
CFAP54__chr12	CFAP54__chr12
CFAP57__chr1	CFAP57__chr1
CFAP58-AS1__chr10	CFAP58-AS1__chr10
CFAP58__chr10	CFAP58__chr10
CFAP61__chr20	CFAP61__chr20
CFAP69__chr7	CFAP69__chr7
CFAP70__chr10	CFAP70__chr10
CFAP73__chr12	CFAP73__chr12
CFAP74__chr1	CFAP74__chr1
CFAP77__chr9	CFAP77__chr9
CFAP97__chr4	CFAP97__chr4
CFAP99__chr4	CFAP99__chr4
CFB__chr6	CFB__chr6
CFDP1__chr16	CFDP1__chr16
CFD__chr19	CFD__chr19
CFHR3__chr1	CFHR3__chr1
CFHR4__chr1	CFHR4__chr1
CFHR5__chr1	CFHR5__chr1
CFH__chr1	CFH__chr1
CFI__chr4	CFI__chr4
CFL1__chr11	CFL1__chr11
CFL2__chr14	CFL2__chr14
CFLAR-AS1__chr2	CFLAR-AS1__chr2
CFLAR__chr2	CFLAR__chr2
CFP__chrX	CFP__chrX
CFTR__chr7	CFTR__chr7
CGA__chr6	CGA__chr6
CGB7__chr19	CGB7__chr19
CGGBP1__chr3	CGGBP1__chr3
CGNL1__chr15	CGNL1__chr15
CGN__chr1	CGN__chr1
CGREF1__chr2	CGREF1__chr2
CGRRF1__chr14	CGRRF1__chr14
CH17-118O6.3__chr1	CH17-118O6.3__chr1
CH17-125A10.2__chr1	CH17-125A10.2__chr1
CH17-132F21.5__chr2	CH17-132F21.5__chr2
CH17-140K24.1__chr5	CH17-140K24.1__chr5
CH17-140K24.2__chr5	CH17-140K24.2__chr5
CH17-140K24.3__chr5	CH17-140K24.3__chr5
CH17-140K24.4__chr5	CH17-140K24.4__chr5
CH17-140K24.5__chr5	CH17-140K24.5__chr5
CH17-140K24.6__chr5	CH17-140K24.6__chr5
CH17-140K24.7__chr5	CH17-140K24.7__chr5
CH17-140K24.8__chr5	CH17-140K24.8__chr5
CH17-174L20.1__chr8	CH17-174L20.1__chr8
CH17-189H20.1__chr1	CH17-189H20.1__chr1
CH17-212P11.6__chr14	CH17-212P11.6__chr14
CH17-262A2.1__chr4	CH17-262A2.1__chr4
CH17-264L24.1__chr22	CH17-264L24.1__chr22
CH17-270A2.1__chr1	CH17-270A2.1__chr1
CH17-270A2.2__chr1	CH17-270A2.2__chr1
CH17-302M23.1__chr14	CH17-302M23.1__chr14
CH17-31A6.1__chr8	CH17-31A6.1__chr8
CH17-335B8.4__chr10	CH17-335B8.4__chr10
CH17-340M24.3__chrX	CH17-340M24.3__chrX
CH17-351M24.1__chr17	CH17-351M24.1__chr17
CH17-353B19.1__chr1	CH17-353B19.1__chr1
CH17-360D5.2__chr10	CH17-360D5.2__chr10
CH17-360D5.3__chr10	CH17-360D5.3__chr10
CH17-373J23.1__chr1	CH17-373J23.1__chr1
CH17-408M7.1__chr1	CH17-408M7.1__chr1
CH17-437K3.1__chr1	CH17-437K3.1__chr1
CH17-76K2.6__chr1	CH17-76K2.6__chr1
CH17-80A12.1__chr9	CH17-80A12.1__chr9
CH25H__chr10	CH25H__chr10
CH507-152C13.5__chr21	CH507-152C13.5__chr21
CH507-154B10.1__chr21	CH507-154B10.1__chr21
CH507-210P18.1__chr21	CH507-210P18.1__chr21
CH507-210P18.4__chr21	CH507-210P18.4__chr21
CH507-216K13.2__chr21	CH507-216K13.2__chr21
CH507-236L23.1__chr21	CH507-236L23.1__chr21
CH507-39O4.1__chr21	CH507-39O4.1__chr21
CH507-39O4.2__chr21	CH507-39O4.2__chr21
CH507-42P11.3__chr21	CH507-42P11.3__chr21
CH507-42P11.5__chr21	CH507-42P11.5__chr21
CH507-42P11.7__chr21	CH507-42P11.7__chr21
CH507-9B2.1__chr21	CH507-9B2.1__chr21
CH507-9B2.2__chr21	CH507-9B2.2__chr21
CH507-9B2.8__chr21	CH507-9B2.8__chr21
CH507-9B2.9__chr21	CH507-9B2.9__chr21
CHAC1__chr15	CHAC1__chr15
CHAC2__chr2	CHAC2__chr2
CHADL__chr22	CHADL__chr22
CHAD__chr17	CHAD__chr17
CHAF1A__chr19	CHAF1A__chr19
CHAF1B__chr21	CHAF1B__chr21
CHAMP1__chr13	CHAMP1__chr13
CHAT__chr10	CHAT__chr10
CHCHD10__chr22	CHCHD10__chr22
CHCHD1__chr10	CHCHD1__chr10
CHCHD2__chr7	CHCHD2__chr7
CHCHD3__chr7	CHCHD3__chr7
CHCHD4__chr3	CHCHD4__chr3
CHCHD5__chr2	CHCHD5__chr2
CHCHD6__chr3	CHCHD6__chr3
CHCHD7__chr8	CHCHD7__chr8
CHD1L__chr1	CHD1L__chr1
CHD1__chr5	CHD1__chr5
CHD2__chr15	CHD2__chr15
CHD3__chr17	CHD3__chr17
CHD4__chr12	CHD4__chr12
CHD5__chr1	CHD5__chr1
CHD6__chr20	CHD6__chr20
CHD7__chr8	CHD7__chr8
CHD8__chr14	CHD8__chr14
CHD9__chr16	CHD9__chr16
CHDH__chr3	CHDH__chr3
CHEK1__chr11	CHEK1__chr11
CHEK2__chr22	CHEK2__chr22
CHERP__chr19	CHERP__chr19
CHFR__chr12	CHFR__chr12
CHGA__chr14	CHGA__chr14
CHGB__chr20	CHGB__chr20
CHI3L1__chr1	CHI3L1__chr1
CHI3L2__chr1	CHI3L2__chr1
CHIA__chr1	CHIA__chr1
CHIC1__chrX	CHIC1__chrX
CHIC2__chr4	CHIC2__chr4
CHID1__chr11	CHID1__chr11
CHIT1__chr1	CHIT1__chr1
CHKA__chr11	CHKA__chr11
CHKB-AS1__chr22	CHKB-AS1__chr22
CHKB__chr22	CHKB__chr22
CHL1-AS1__chr3	CHL1-AS1__chr3
CHL1-AS2__chr3	CHL1-AS2__chr3
CHL1__chr3	CHL1__chr3
CHML__chr1	CHML__chr1
CHMP1A__chr16	CHMP1A__chr16
CHMP1B__chr18	CHMP1B__chr18
CHMP2A__chr19	CHMP2A__chr19
CHMP2B__chr3	CHMP2B__chr3
CHMP3__chr2	CHMP3__chr2
CHMP4B__chr20	CHMP4B__chr20
CHMP4C__chr8	CHMP4C__chr8
CHMP5__chr9	CHMP5__chr9
CHMP6__chr17	CHMP6__chr17
CHMP7__chr8	CHMP7__chr8
CHM__chrX	CHM__chrX
CHN1__chr2	CHN1__chr2
CHN2__chr7	CHN2__chr7
CHODL-AS1__chr21	CHODL-AS1__chr21
CHODL__chr21	CHODL__chr21
CHORDC1__chr11	CHORDC1__chr11
CHP1__chr15	CHP1__chr15
CHP2__chr16	CHP2__chr16
CHPF2__chr7	CHPF2__chr7
CHPF__chr2	CHPF__chr2
CHPT1__chr12	CHPT1__chr12
CHRAC1__chr8	CHRAC1__chr8
CHRDL1__chrX	CHRDL1__chrX
CHRDL2__chr11	CHRDL2__chr11
CHRD__chr3	CHRD__chr3
CHRM1__chr11	CHRM1__chr11
CHRM2__chr7	CHRM2__chr7
CHRM3-AS1__chr1	CHRM3-AS1__chr1
CHRM3-AS2__chr1	CHRM3-AS2__chr1
CHRM3__chr1	CHRM3__chr1
CHRM4__chr11	CHRM4__chr11
CHRM5__chr15	CHRM5__chr15
CHRNA10__chr11	CHRNA10__chr11
CHRNA1__chr2	CHRNA1__chr2
CHRNA2__chr8	CHRNA2__chr8
CHRNA3__chr15	CHRNA3__chr15
CHRNA4__chr20	CHRNA4__chr20
CHRNA5__chr15	CHRNA5__chr15
CHRNA6__chr8	CHRNA6__chr8
CHRNA9__chr4	CHRNA9__chr4
CHRNB1__chr17	CHRNB1__chr17
CHRNB2__chr1	CHRNB2__chr1
CHRNB3__chr8	CHRNB3__chr8
CHRNB4__chr15	CHRNB4__chr15
CHRND__chr2	CHRND__chr2
CHRNE__chr17	CHRNE__chr17
CHRNG__chr2	CHRNG__chr2
CHST10__chr2	CHST10__chr2
CHST11__chr12	CHST11__chr12
CHST12__chr7	CHST12__chr7
CHST13__chr3	CHST13__chr3
CHST14__chr15	CHST14__chr15
CHST15__chr10	CHST15__chr10
CHST1__chr11	CHST1__chr11
CHST2__chr3	CHST2__chr3
CHST3__chr10	CHST3__chr10
CHST4__chr16	CHST4__chr16
CHST5__chr16	CHST5__chr16
CHST6__chr16	CHST6__chr16
CHST7__chrX	CHST7__chrX
CHST8__chr19	CHST8__chr19
CHST9__chr18	CHST9__chr18
CHSY1__chr15	CHSY1__chr15
CHSY3__chr5	CHSY3__chr5
CHTF18__chr16	CHTF18__chr16
CHTF8__chr16	CHTF8__chr16
CHTOP__chr1	CHTOP__chr1
CHUK__chr10	CHUK__chr10
CHURC1-FNTB__chr14	CHURC1-FNTB__chr14
CHURC1__chr14	CHURC1__chr14
CIAO1__chr2	CIAO1__chr2
CIAPIN1__chr16	CIAPIN1__chr16
CIART__chr1	CIART__chr1
CIB1__chr15	CIB1__chr15
CIB2__chr15	CIB2__chr15
CIB3__chr19	CIB3__chr19
CIB4__chr2	CIB4__chr2
CIC__chr19	CIC__chr19
CIDEA__chr18	CIDEA__chr18
CIDEB__chr14	CIDEB__chr14
CIDEC__chr3	CIDEC__chr3
CIITA__chr16	CIITA__chr16
CILP2__chr19	CILP2__chr19
CILP__chr15	CILP__chr15
CINP__chr14	CINP__chr14
CIPC__chr14	CIPC__chr14
CIR1__chr2	CIR1__chr2
CIRBP-AS1__chr19	CIRBP-AS1__chr19
CIRBP__chr19	CIRBP__chr19
CIRH1A__chr16	CIRH1A__chr16
CISD1__chr10	CISD1__chr10
CISD2__chr4	CISD2__chr4
CISD3__chr17	CISD3__chr17
CISH__chr3	CISH__chr3
CISTR__chr12	CISTR__chr12
CITED1__chrX	CITED1__chrX
CITED2__chr6	CITED2__chr6
CITED4__chr1	CITED4__chr1
CITF22-1A6.3__chr22	CITF22-1A6.3__chr22
CITF22-24E5.1__chr22	CITF22-24E5.1__chr22
CITF22-49D8.1__chr22	CITF22-49D8.1__chr22
CITF22-49E9.3__chr22	CITF22-49E9.3__chr22
CITF22-62D4.1__chr22	CITF22-62D4.1__chr22
CITF22-92A6.1__chr22	CITF22-92A6.1__chr22
CITF22-92A6.2__chr22	CITF22-92A6.2__chr22
CIT__chr12	CIT__chr12
CIZ1__chr9	CIZ1__chr9
CKAP2L__chr2	CKAP2L__chr2
CKAP2__chr13	CKAP2__chr13
CKAP4__chr12	CKAP4__chr12
CKAP5__chr11	CKAP5__chr11
CKB__chr14	CKB__chr14
CKLF-CMTM1__chr16	CKLF-CMTM1__chr16
CKLF__chr16	CKLF__chr16
CKMT2-AS1__chr5	CKMT2-AS1__chr5
CKMT2__chr5	CKMT2__chr5
CKM__chr19	CKM__chr19
CKS1B__chr1	CKS1B__chr1
CKS2__chr9	CKS2__chr9
CLASP1__chr2	CLASP1__chr2
CLASP2__chr3	CLASP2__chr3
CLASRP__chr19	CLASRP__chr19
CLCA1__chr1	CLCA1__chr1
CLCA2__chr1	CLCA2__chr1
CLCA4__chr1	CLCA4__chr1
CLCC1__chr1	CLCC1__chr1
CLCF1__chr11	CLCF1__chr11
CLCN1__chr7	CLCN1__chr7
CLCN2__chr3	CLCN2__chr3
CLCN3__chr4	CLCN3__chr4
CLCN4__chrX	CLCN4__chrX
CLCN5__chrX	CLCN5__chrX
CLCN6__chr1	CLCN6__chr1
CLCN7__chr16	CLCN7__chr16
CLC__chr19	CLC__chr19
CLDN10-AS1__chr13	CLDN10-AS1__chr13
CLDN10__chr13	CLDN10__chr13
CLDN11__chr3	CLDN11__chr3
CLDN12__chr7	CLDN12__chr7
CLDN14__chr21	CLDN14__chr21
CLDN15__chr7	CLDN15__chr7
CLDN16__chr3	CLDN16__chr3
CLDN17__chr21	CLDN17__chr21
CLDN18__chr3	CLDN18__chr3
CLDN19__chr1	CLDN19__chr1
CLDN1__chr3	CLDN1__chr3
CLDN20__chr6	CLDN20__chr6
CLDN22__chr4	CLDN22__chr4
CLDN23__chr8	CLDN23__chr8
CLDN24__chr4	CLDN24__chr4
CLDN25__chr11	CLDN25__chr11
CLDN2__chrX	CLDN2__chrX
CLDN34__chrX	CLDN34__chrX
CLDN3__chr7	CLDN3__chr7
CLDN4__chr7	CLDN4__chr7
CLDN5__chr22	CLDN5__chr22
CLDN6__chr16	CLDN6__chr16
CLDN7__chr17	CLDN7__chr17
CLDN8__chr21	CLDN8__chr21
CLDN9__chr16	CLDN9__chr16
CLDND1__chr3	CLDND1__chr3
CLDND2__chr19	CLDND2__chr19
CLEC10A__chr17	CLEC10A__chr17
CLEC11A__chr19	CLEC11A__chr19
CLEC12A__chr12	CLEC12A__chr12
CLEC12B__chr12	CLEC12B__chr12
CLEC14A__chr14	CLEC14A__chr14
CLEC16A__chr16	CLEC16A__chr16
CLEC17A__chr19	CLEC17A__chr19
CLEC19A__chr16	CLEC19A__chr16
CLEC1A__chr12	CLEC1A__chr12
CLEC1B__chr12	CLEC1B__chr12
CLEC2A__chr12	CLEC2A__chr12
CLEC2B__chr12	CLEC2B__chr12
CLEC2D__chr12	CLEC2D__chr12
CLEC2L__chr7	CLEC2L__chr7
CLEC3A__chr16	CLEC3A__chr16
CLEC3B__chr3	CLEC3B__chr3
CLEC4A__chr12	CLEC4A__chr12
CLEC4C__chr12	CLEC4C__chr12
CLEC4D__chr12	CLEC4D__chr12
CLEC4E__chr12	CLEC4E__chr12
CLEC4F__chr2	CLEC4F__chr2
CLEC4G__chr19	CLEC4G__chr19
CLEC4M__chr19	CLEC4M__chr19
CLEC5A__chr7	CLEC5A__chr7
CLEC6A__chr12	CLEC6A__chr12
CLEC7A__chr12	CLEC7A__chr12
CLEC9A__chr12	CLEC9A__chr12
CLECL1__chr12	CLECL1__chr12
CLGN__chr4	CLGN__chr4
CLHC1__chr2	CLHC1__chr2
CLIC1__chr6	CLIC1__chr6
CLIC2__chrX	CLIC2__chrX
CLIC3__chr9	CLIC3__chr9
CLIC4__chr1	CLIC4__chr1
CLIC5__chr6	CLIC5__chr6
CLIC6__chr21	CLIC6__chr21
CLINT1__chr5	CLINT1__chr5
CLIP1-AS1__chr12	CLIP1-AS1__chr12
CLIP1__chr12	CLIP1__chr12
CLIP2__chr7	CLIP2__chr7
CLIP3__chr19	CLIP3__chr19
CLIP4__chr2	CLIP4__chr2
CLK1__chr2	CLK1__chr2
CLK2__chr1	CLK2__chr1
CLK3__chr15	CLK3__chr15
CLK4__chr5	CLK4__chr5
CLLU1OS__chr12	CLLU1OS__chr12
CLLU1__chr12	CLLU1__chr12
CLMN__chr14	CLMN__chr14
CLMP__chr11	CLMP__chr11
CLN3__chr16	CLN3__chr16
CLN5__chr13	CLN5__chr13
CLN6__chr15	CLN6__chr15
CLN8__chr8	CLN8__chr8
CLNK__chr4	CLNK__chr4
CLNS1A__chr11	CLNS1A__chr11
CLOCK__chr4	CLOCK__chr4
CLP1__chr11	CLP1__chr11
CLPB__chr11	CLPB__chr11
CLPP__chr19	CLPP__chr19
CLPSL1__chr6	CLPSL1__chr6
CLPSL2__chr6	CLPSL2__chr6
CLPS__chr6	CLPS__chr6
CLPTM1L__chr5	CLPTM1L__chr5
CLPTM1__chr19	CLPTM1__chr19
CLPX__chr15	CLPX__chr15
CLRN1-AS1__chr3	CLRN1-AS1__chr3
CLRN1__chr3	CLRN1__chr3
CLRN2__chr4	CLRN2__chr4
CLRN3__chr10	CLRN3__chr10
CLSPN__chr1	CLSPN__chr1
CLSTN1__chr1	CLSTN1__chr1
CLSTN2-AS1__chr3	CLSTN2-AS1__chr3
CLSTN2__chr3	CLSTN2__chr3
CLSTN3__chr12	CLSTN3__chr12
CLTA__chr9	CLTA__chr9
CLTB__chr5	CLTB__chr5
CLTCL1__chr22	CLTCL1__chr22
CLTC__chr17	CLTC__chr17
CLUAP1__chr16	CLUAP1__chr16
CLUH__chr17	CLUH__chr17
CLUL1__chr18	CLUL1__chr18
CLU__chr8	CLU__chr8
CLVS1__chr8	CLVS1__chr8
CLVS2__chr6	CLVS2__chr6
CLYBL-AS1__chr13	CLYBL-AS1__chr13
CLYBL-AS2__chr13	CLYBL-AS2__chr13
CLYBL__chr13	CLYBL__chr13
CMA1__chr14	CMA1__chr14
CMAS__chr12	CMAS__chr12
CMB9-22P13.1__chr11	CMB9-22P13.1__chr11
CMB9-22P13.2__chr11	CMB9-22P13.2__chr11
CMB9-52H4.1__chr11	CMB9-52H4.1__chr11
CMB9-55A18.1__chr11	CMB9-55A18.1__chr11
CMB9-94B1.2__chr11	CMB9-94B1.2__chr11
CMBL__chr5	CMBL__chr5
CMC1__chr3	CMC1__chr3
CMC2__chr16	CMC2__chr16
CMC4__chrX	CMC4__chrX
CMIP__chr16	CMIP__chr16
CMKLR1__chr12	CMKLR1__chr12
CMP21-97G8.1__chr21	CMP21-97G8.1__chr21
CMP21-97G8.2__chr21	CMP21-97G8.2__chr21
CMPK1__chr1	CMPK1__chr1
CMPK2__chr2	CMPK2__chr2
CMSS1__chr3	CMSS1__chr3
CMTM1__chr16	CMTM1__chr16
CMTM2__chr16	CMTM2__chr16
CMTM3__chr16	CMTM3__chr16
CMTM4__chr16	CMTM4__chr16
CMTM5__chr14	CMTM5__chr14
CMTM6__chr3	CMTM6__chr3
CMTM7__chr3	CMTM7__chr3
CMTM8__chr3	CMTM8__chr3
CMTR1__chr6	CMTR1__chr6
CMTR2__chr16	CMTR2__chr16
CMYA5__chr5	CMYA5__chr5
CNBD1__chr8	CNBD1__chr8
CNBD2__chr20	CNBD2__chr20
CNBP__chr3	CNBP__chr3
CNDP1__chr18	CNDP1__chr18
CNDP2__chr18	CNDP2__chr18
CNEP1R1__chr16	CNEP1R1__chr16
CNFN__chr19	CNFN__chr19
CNGA1__chr4	CNGA1__chr4
CNGA2__chrX	CNGA2__chrX
CNGA3__chr2	CNGA3__chr2
CNGA4__chr11	CNGA4__chr11
CNGB1__chr16	CNGB1__chr16
CNGB3__chr8	CNGB3__chr8
CNIH1__chr14	CNIH1__chr14
CNIH2__chr11	CNIH2__chr11
CNIH3__chr1	CNIH3__chr1
CNIH4__chr1	CNIH4__chr1
CNKSR1__chr1	CNKSR1__chr1
CNKSR2__chrX	CNKSR2__chrX
CNKSR3__chr6	CNKSR3__chr6
CNN1__chr19	CNN1__chr19
CNN2__chr19	CNN2__chr19
CNN3__chr1	CNN3__chr1
CNNM1__chr10	CNNM1__chr10
CNNM2__chr10	CNNM2__chr10
CNNM3__chr2	CNNM3__chr2
CNNM4__chr2	CNNM4__chr2
CNOT10-AS1__chr3	CNOT10-AS1__chr3
CNOT10__chr3	CNOT10__chr3
CNOT11__chr2	CNOT11__chr2
CNOT1__chr16	CNOT1__chr16
CNOT2__chr12	CNOT2__chr12
CNOT3__chr19	CNOT3__chr19
CNOT4__chr7	CNOT4__chr7
CNOT6L__chr4	CNOT6L__chr4
CNOT6__chr5	CNOT6__chr5
CNOT7__chr8	CNOT7__chr8
CNOT8__chr5	CNOT8__chr5
CNPPD1__chr2	CNPPD1__chr2
CNPY1__chr7	CNPY1__chr7
CNPY2__chr12	CNPY2__chr12
CNPY3__chr6	CNPY3__chr6
CNPY4__chr7	CNPY4__chr7
CNP__chr17	CNP__chr17
CNR1__chr6	CNR1__chr6
CNR2__chr1	CNR2__chr1
CNRIP1__chr2	CNRIP1__chr2
CNST__chr1	CNST__chr1
CNTD1__chr17	CNTD1__chr17
CNTD2__chr19	CNTD2__chr19
CNTFR-AS1__chr9	CNTFR-AS1__chr9
CNTFR__chr9	CNTFR__chr9
CNTF__chr11	CNTF__chr11
CNTLN__chr9	CNTLN__chr9
CNTN1__chr12	CNTN1__chr12
CNTN2__chr1	CNTN2__chr1
CNTN3__chr3	CNTN3__chr3
CNTN4-AS1__chr3	CNTN4-AS1__chr3
CNTN4-AS2__chr3	CNTN4-AS2__chr3
CNTN4__chr3	CNTN4__chr3
CNTN5__chr11	CNTN5__chr11
CNTN6__chr3	CNTN6__chr3
CNTNAP1__chr17	CNTNAP1__chr17
CNTNAP2__chr7	CNTNAP2__chr7
CNTNAP3B__chr9	CNTNAP3B__chr9
CNTNAP3__chr9	CNTNAP3__chr9
CNTNAP4__chr16	CNTNAP4__chr16
CNTNAP5__chr2	CNTNAP5__chr2
CNTRL__chr9	CNTRL__chr9
CNTROB__chr17	CNTROB__chr17
COA1__chr7	COA1__chr7
COA3__chr17	COA3__chr17
COA4__chr11	COA4__chr11
COA5__chr2	COA5__chr2
COA6__chr1	COA6__chr1
COA7__chr1	COA7__chr1
COASY__chr17	COASY__chr17
COBLL1__chr2	COBLL1__chr2
COBL__chr7	COBL__chr7
COCH__chr14	COCH__chr14
COG1__chr17	COG1__chr17
COG2__chr1	COG2__chr1
COG3__chr13	COG3__chr13
COG4__chr16	COG4__chr16
COG5__chr7	COG5__chr7
COG6__chr13	COG6__chr13
COG7__chr16	COG7__chr16
COG8__chr16	COG8__chr16
COIL__chr17	COIL__chr17
COL10A1__chr6	COL10A1__chr6
COL11A1__chr1	COL11A1__chr1
COL11A2__chr6	COL11A2__chr6
COL12A1__chr6	COL12A1__chr6
COL13A1__chr10	COL13A1__chr10
COL14A1__chr8	COL14A1__chr8
COL15A1__chr9	COL15A1__chr9
COL16A1__chr1	COL16A1__chr1
COL17A1__chr10	COL17A1__chr10
COL18A1-AS1__chr21	COL18A1-AS1__chr21
COL18A1-AS2__chr21	COL18A1-AS2__chr21
COL18A1__chr21	COL18A1__chr21
COL19A1__chr6	COL19A1__chr6
COL1A1__chr17	COL1A1__chr17
COL1A2__chr7	COL1A2__chr7
COL20A1__chr20	COL20A1__chr20
COL21A1__chr6	COL21A1__chr6
COL22A1__chr8	COL22A1__chr8
COL23A1__chr5	COL23A1__chr5
COL24A1__chr1	COL24A1__chr1
COL25A1__chr4	COL25A1__chr4
COL26A1__chr7	COL26A1__chr7
COL27A1__chr9	COL27A1__chr9
COL28A1__chr7	COL28A1__chr7
COL2A1__chr12	COL2A1__chr12
COL3A1__chr2	COL3A1__chr2
COL4A1__chr13	COL4A1__chr13
COL4A2-AS1__chr13	COL4A2-AS1__chr13
COL4A2-AS2__chr13	COL4A2-AS2__chr13
COL4A2__chr13	COL4A2__chr13
COL4A3BP__chr5	COL4A3BP__chr5
COL4A3__chr2	COL4A3__chr2
COL4A4__chr2	COL4A4__chr2
COL4A5__chrX	COL4A5__chrX
COL4A6__chrX	COL4A6__chrX
COL5A1-AS1__chr9	COL5A1-AS1__chr9
COL5A1__chr9	COL5A1__chr9
COL5A2__chr2	COL5A2__chr2
COL5A3__chr19	COL5A3__chr19
COL6A1__chr21	COL6A1__chr21
COL6A2__chr21	COL6A2__chr21
COL6A3__chr2	COL6A3__chr2
COL6A5__chr3	COL6A5__chr3
COL6A6__chr3	COL6A6__chr3
COL7A1__chr3	COL7A1__chr3
COL8A1__chr3	COL8A1__chr3
COL8A2__chr1	COL8A2__chr1
COL9A1__chr6	COL9A1__chr6
COL9A2__chr1	COL9A2__chr1
COL9A3__chr20	COL9A3__chr20
COLCA1__chr11	COLCA1__chr11
COLCA2__chr11	COLCA2__chr11
COLEC10__chr8	COLEC10__chr8
COLEC11__chr2	COLEC11__chr2
COLEC12__chr18	COLEC12__chr18
COLGALT1__chr19	COLGALT1__chr19
COLGALT2__chr1	COLGALT2__chr1
COLQ__chr3	COLQ__chr3
COMMD10__chr5	COMMD10__chr5
COMMD1__chr2	COMMD1__chr2
COMMD2__chr3	COMMD2__chr3
COMMD3-BMI1__chr10	COMMD3-BMI1__chr10
COMMD3__chr10	COMMD3__chr10
COMMD4__chr15	COMMD4__chr15
COMMD5__chr8	COMMD5__chr8
COMMD6__chr13	COMMD6__chr13
COMMD7__chr20	COMMD7__chr20
COMMD8__chr4	COMMD8__chr4
COMMD9__chr11	COMMD9__chr11
COMP__chr19	COMP__chr19
COMTD1__chr10	COMTD1__chr10
COMT__chr22	COMT__chr22
COPA__chr1	COPA__chr1
COPB1__chr11	COPB1__chr11
COPB2__chr3	COPB2__chr3
COPE__chr19	COPE__chr19
COPG1__chr3	COPG1__chr3
COPG2__chr7	COPG2__chr7
COPRS__chr17	COPRS__chr17
COPS2__chr15	COPS2__chr15
COPS3__chr17	COPS3__chr17
COPS4__chr4	COPS4__chr4
COPS5__chr8	COPS5__chr8
COPS6__chr7	COPS6__chr7
COPS7A__chr12	COPS7A__chr12
COPS7B__chr2	COPS7B__chr2
COPS8__chr2	COPS8__chr2
COPZ1__chr12	COPZ1__chr12
COPZ2__chr17	COPZ2__chr17
COQ10A__chr12	COQ10A__chr12
COQ10B__chr2	COQ10B__chr2
COQ2__chr4	COQ2__chr4
COQ3__chr6	COQ3__chr6
COQ4__chr9	COQ4__chr9
COQ5__chr12	COQ5__chr12
COQ6__chr14	COQ6__chr14
COQ7__chr16	COQ7__chr16
COQ9__chr16	COQ9__chr16
CORIN__chr4	CORIN__chr4
